direction,pulse_us,angle_deg,valid
U,1569,95.625,1
U,1570,95.625,1
U,1571,95.625,1
U,1572,95.625,1
U,1573,95.625,1
U,1574,95.625,1
U,1575,95.801,1
U,1576,96.064,1
U,1577,96.328,1
U,1578,96.328,1
U,1579,96.328,1
U,1580,96.504,1
U,1581,96.504,1
U,1582,96.504,1
U,1583,96.504,1
U,1584,96.680,1
U,1585,96.768,1
U,1586,96.768,1
U,1587,96.768,1
U,1588,97.031,1
U,1589,97.295,1
U,1590,97.559,1
U,1591,97.471,1
U,1592,97.559,1
U,1593,97.646,1
U,1594,97.646,1
U,1595,97.910,1
U,1596,98.350,1
U,1597,98.437,1
U,1598,98.350,1
U,1599,98.350,1
U,1600,98.350,1
U,1601,98.350,1
U,1602,98.350,1
U,1603,98.350,1
U,1604,98.350,1
U,1605,98.350,1
U,1606,98.350,1
U,1607,98.350,1
U,1608,98.437,1
U,1609,98.701,1
U,1610,98.877,1
U,1611,98.877,1
U,1612,98.965,1
U,1613,99.229,1
U,1614,99.404,1
U,1615,99.492,1
U,1616,99.580,1
U,1617,99.932,1
U,1618,100.107,1
U,1619,100.020,1
U,1620,100.020,1
U,1621,100.020,1
U,1622,100.195,1
U,1623,100.459,1
U,1624,100.547,1
U,1625,100.459,1
U,1626,100.459,1
U,1627,100.459,1
U,1628,100.459,1
U,1629,100.459,1
U,1630,100.635,1
U,1631,100.986,1
U,1632,101.162,1
U,1633,101.162,1
U,1634,101.162,1
U,1635,101.162,1
U,1636,101.602,1
U,1637,101.953,1
U,1638,102.129,1
U,1639,102.129,1
U,1640,102.129,1
U,1641,102.129,1
U,1642,102.129,1
U,1643,102.129,1
U,1644,102.217,1
U,1645,102.129,1
U,1646,102.129,1
U,1647,102.217,1
U,1648,102.305,1
U,1649,102.480,1
U,1650,102.568,1
U,1651,102.568,1
U,1652,102.744,1
U,1653,102.656,1
U,1654,102.656,1
U,1655,102.656,1
U,1656,102.832,1
U,1657,103.184,1
U,1658,103.359,1
U,1659,103.359,1
U,1660,103.359,1
U,1661,103.359,1
U,1662,103.535,1
U,1663,103.799,1
U,1664,103.799,1
U,1665,103.799,1
U,1666,103.975,1
U,1667,104.238,1
U,1668,104.238,1
U,1669,104.238,1
U,1670,104.238,1
U,1671,104.238,1
U,1672,104.414,1
U,1673,104.678,1
U,1674,104.854,1
U,1675,104.941,1
U,1676,104.941,1
U,1677,104.941,1
U,1678,105.117,1
U,1679,105.117,1
U,1680,105.117,1
U,1681,105.293,1
U,1682,105.293,1
U,1683,105.469,1
U,1684,105.820,1
U,1685,105.908,1
U,1686,105.908,1
U,1687,105.908,1
U,1688,105.996,1
U,1689,106.172,1
U,1690,106.260,1
U,1691,106.260,1
U,1692,106.260,1
U,1693,106.260,1
U,1694,106.523,1
U,1695,106.699,1
U,1696,106.699,1
U,1697,106.699,1
U,1698,106.699,1
U,1699,106.787,1
U,1700,107.139,1
U,1701,107.227,1
U,1702,107.139,1
U,1703,107.139,1
U,1704,107.314,1
U,1705,107.490,1
U,1706,107.578,1
U,1707,107.578,1
U,1708,107.666,1
U,1709,107.666,1
U,1710,108.105,1
U,1711,108.633,1
U,1712,108.809,1
U,1713,108.809,1
U,1714,108.721,1
U,1715,108.809,1
U,1716,108.809,1
U,1717,108.809,1
U,1718,108.809,1
U,1719,108.809,1
U,1720,108.809,1
U,1721,108.809,1
U,1722,108.809,1
U,1723,108.809,1
U,1724,108.896,1
U,1725,109.160,1
U,1726,109.336,1
U,1727,109.688,1
U,1728,109.863,1
U,1729,109.951,1
U,1730,109.951,1
U,1731,110.039,1
U,1732,110.127,1
U,1733,110.215,1
U,1734,110.215,1
U,1735,110.391,1
U,1736,110.654,1
U,1737,110.742,1
U,1738,110.742,1
U,1739,110.742,1
U,1740,110.742,1
U,1741,111.006,1
U,1742,111.006,1
U,1743,110.918,1
U,1744,110.918,1
U,1745,111.094,1
U,1746,111.270,1
U,1747,111.445,1
U,1748,111.357,1
U,1749,111.533,1
U,1750,111.621,1
U,1751,111.621,1
U,1752,111.621,1
U,1753,111.797,1
U,1754,111.973,1
U,1755,112.148,1
U,1756,112.236,1
U,1757,112.236,1
U,1758,112.236,1
U,1759,112.236,1
U,1760,112.500,1
U,1761,112.764,1
U,1762,112.852,1
U,1763,112.939,1
U,1764,112.939,1
U,1765,112.939,1
U,1766,113.027,1
U,1767,113.203,1
U,1768,113.203,1
U,1769,113.203,1
U,1770,113.555,1
U,1771,113.906,1
U,1772,113.994,1
U,1773,113.994,1
U,1774,113.994,1
U,1775,113.994,1
U,1776,113.994,1
U,1777,113.994,1
U,1778,114.082,1
U,1779,114.346,1
U,1780,114.434,1
U,1781,114.434,1
U,1782,114.434,1
U,1783,114.434,1
U,1784,114.521,1
U,1785,114.697,1
U,1786,114.873,1
U,1787,115.049,1
U,1788,115.137,1
U,1789,115.137,1
U,1790,115.137,1
U,1791,115.137,1
U,1792,115.225,1
U,1793,115.488,1
U,1794,115.576,1
U,1795,115.576,1
U,1796,115.752,1
U,1797,116.016,1
U,1798,116.191,1
U,1799,116.104,1
U,1800,116.104,1
U,1801,116.016,1
U,1802,116.104,1
U,1803,116.367,1
