pulse_us,angle_deg,valid
1662,103.623,1
1663,103.711,1
1664,103.799,1
1665,103.975,1
1666,104.062,1
1667,104.062,1
1668,104.062,1
1669,104.326,1
1670,104.414,1
1671,104.414,1
1672,104.414,1
1673,104.414,1
1674,104.590,1
1675,104.854,1
1676,105.029,1
1677,105.029,1
1678,105.117,1
1679,105.029,1
1680,105.029,1
1681,105.029,1
1682,105.029,1
1683,105.293,1
1684,105.645,1
1685,105.820,1
1686,105.908,1
1687,106.084,1
1688,106.172,1
1689,106.172,1
1690,106.172,1
1691,106.436,1
1692,106.611,1
1693,106.699,1
1694,106.611,1
1695,106.699,1
1696,106.611,1
1697,106.611,1
1698,106.611,1
1699,106.875,1
1700,107.139,1
1701,107.314,1
1702,107.402,1
1703,107.490,1
1704,107.578,1
1705,107.578,1
1706,107.578,1
1707,107.666,1
1708,107.842,1
1709,107.842,1
1710,107.754,1
1711,107.842,1
1712,108.105,1
1713,108.369,1
1714,108.369,1
1715,108.545,1
1716,108.721,1
1717,108.896,1
1718,108.896,1
1719,109.072,1
1720,109.160,1
1721,109.160,1
1722,109.160,1
1723,109.336,1
1724,109.512,1
1725,109.600,1
1726,109.600,1
1727,109.775,1
1728,109.775,1
1729,109.863,1
1730,109.863,1
1731,110.039,1
1732,110.215,1
1733,110.127,1
1734,110.127,1
1735,110.303,1
1736,110.566,1
1737,110.654,1
1738,110.654,1
1739,110.654,1
1740,110.918,1
1741,111.006,1
1742,111.006,1
1743,111.182,1
1744,111.270,1
1745,111.270,1
1746,111.270,1
1747,111.270,1
1748,111.270,1
1749,111.445,1
1750,111.621,1
1751,111.533,1
1752,111.621,1
1753,111.885,1
1754,112.148,1
1755,112.236,1
1756,112.236,1
1757,112.412,1
1758,112.500,1
1759,112.412,1
1760,112.412,1
1761,112.412,1
1762,112.500,1
1763,112.852,1
1764,113.027,1
1765,113.027,1
1766,113.115,1
1767,113.203,1
1768,113.291,1
1769,113.291,1
1770,113.467,1
1771,113.643,1
1772,113.730,1
1773,113.730,1
1774,113.818,1
1775,113.818,1
1776,113.906,1
1777,113.906,1
1778,113.994,1
1779,114.170,1
1780,114.258,1
1781,114.258,1
1782,114.346,1
1783,114.609,1
1784,114.697,1
1785,114.609,1
1786,114.609,1
1787,114.609,1
1788,114.609,1
1789,114.961,1
1790,115.225,1
1791,115.576,1
1792,115.752,1
1793,115.752,1
1794,115.840,1
1795,115.752,1
1796,115.752,1
1797,115.752,1
1798,115.752,1
1799,115.840,1
1800,116.104,1
1801,116.191,1
1802,116.455,1
1803,116.631,1
1804,116.719,1
1805,116.719,1
1806,116.719,1
1807,116.719,1
1808,116.631,1
1809,116.719,1
1810,116.719,1
1811,116.982,1
1812,117.246,1
1813,117.422,1
1814,117.598,1
1815,117.598,1
1816,117.598,1
1817,117.598,1
1818,117.686,1
1819,117.949,1
1820,118.037,1
1821,118.037,1
1822,118.125,1
1823,118.301,1
1824,118.389,1
1825,118.477,1
1826,118.477,1
1827,118.477,1
1828,118.564,1
1829,118.564,1
1830,118.477,1
1831,118.564,1
1832,118.652,1
1833,119.004,1
1834,119.180,1
1835,119.180,1
1836,119.180,1
1837,119.180,1
1838,119.180,1
1839,119.443,1
1840,119.795,1
1841,119.883,1
1842,119.883,1
1843,119.883,1
1844,119.883,1
1845,119.883,1
1846,119.883,1
1847,120.234,1
1848,120.586,1
1849,120.762,1
1850,120.762,1
1851,120.762,1
1852,120.762,1
1853,120.762,1
1854,120.762,1
1855,120.762,1
1856,120.762,1
1857,120.762,1
1858,120.762,1
1859,120.937,1
1860,121.201,1
1861,121.377,1
1862,121.465,1
1863,121.465,1
1864,121.641,1
1865,121.816,1
1866,121.816,1
1867,121.992,1
1868,122.168,1
1869,122.256,1
1870,122.256,1
1871,122.344,1
1872,122.607,1
1873,122.871,1
1874,122.871,1
1875,122.871,1
1876,122.871,1
1877,122.871,1
1878,122.871,1
1879,122.871,1
1880,123.135,1
1881,123.398,1
1882,123.574,1
1883,123.574,1
1884,123.838,1
1885,124.189,1
1886,124.277,1
1887,124.277,1
1888,124.277,1
1889,124.277,1
1890,124.277,1
1891,124.277,1
1892,124.277,1
1893,124.277,1
1894,124.277,1
1895,124.365,1
1896,124.717,1
1897,124.805,1
1898,124.717,1
1899,124.717,1
1900,124.893,1
1901,125.156,1
1902,125.332,1
1903,125.420,1
1904,125.420,1
1905,125.420,1
1906,125.420,1
1907,125.420,1
1908,125.596,1
1909,125.947,1
1910,125.947,1
1911,125.947,1
1912,125.947,1
1913,125.947,1
1914,125.947,1
1915,125.947,1
1916,126.123,1
1917,126.387,1
1918,126.475,1
1919,126.563,1
1920,126.738,1
1921,126.914,1
1922,127.090,1
1923,127.002,1
1924,127.178,1
1925,127.354,1
1926,127.354,1
1927,127.266,1
1928,127.529,1
1929,127.617,1
1930,127.617,1
1931,127.617,1
1932,127.617,1
1933,127.617,1
1934,127.793,1
1935,128.057,1
1936,128.320,1
1937,128.496,1
1938,128.584,1
1939,128.584,1
1940,128.584,1
1941,128.584,1
1942,128.584,1
